Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
Iga SWIATEK,Bronze Medal,8/2/2024,POL,F,Tennis
Ilya KHARUN,Bronze Medal,7/31/2024,CAN,M,Swimming
Ilya KHARUN,Bronze Medal,8/3/2024,CAN,M,Swimming
IM Aeji,Bronze Medal,8/4/2024,KOR,F,Boxing
Iryna GERASHCHENKO,Bronze Medal,8/4/2024,UKR,F,Athletics
Kristen FAULKNER,Gold Medal,8/4/2024,USA,F,Cycling Road
Marianne VOS,Silver Medal,8/4/2024,NED,F,Cycling Road
Isabel GOSE,Bronze Medal,7/31/2024,GER,F,Swimming
Japan,Gold Medal,8/4/2024,JPN,M,Fencing
Italy,Silver Medal,8/4/2024,ITA,M,Fencing
Islam DUDAEV,Bronze Medal,8/11/2024,ALB,M,Wrestling
Scottie SCHEFFLER,Gold Medal,8/4/2024,USA,M,Golf
Tommy FLEETWOOD,Silver Medal,8/4/2024,GBR,M,Golf
Francisca CROVETTO CHADID,Gold Medal,8/4/2024,CHI,F,Shooting
Amber Jo RUTTER,Silver Medal,8/4/2024,GBR,F,Shooting
Jack CARLIN,Bronze Medal,8/9/2024,GBR,M,Cycling Track
Bobby FINKE,Gold Medal,8/4/2024,USA,M,Swimming
Gregorio PALTRINIERI,Silver Medal,8/4/2024,ITA,M,Swimming
Jade CAREY,Bronze Medal,8/3/2024,USA,F,Artistic Gymnastics
China,Gold Medal,8/4/2024,CHN,M,Swimming
United States,Silver Medal,8/4/2024,USA,M,Swimming
Jake JARMAN,Bronze Medal,8/3/2024,GBR,M,Artistic Gymnastics
United States,Gold Medal,8/4/2024,USA,F,Swimming
Australia,Silver Medal,8/4/2024,AUS,F,Swimming
Jakob SCHUBERT,Bronze Medal,8/9/2024,AUT,M,Sport Climbing
Sarah SJOESTROEM,Gold Medal,8/4/2024,SWE,F,Swimming
Meg HARRIS,Silver Medal,8/4/2024,AUS,F,Swimming
Janjaem SUWANNAPHENG,Bronze Medal,8/6/2024,THA,F,Boxing
FAN Zhendong,Gold Medal,8/4/2024,CHN,M,Table Tennis
Truls MOREGARD,Silver Medal,8/4/2024,SWE,M,Table Tennis
Novak DJOKOVIC,Gold Medal,8/4/2024,SRB,M,Tennis
Carlos ALCARAZ,Silver Medal,8/4/2024,ESP,M,Tennis
ERRANI/PAOLINI,Gold Medal,8/4/2024,ITA,F,Tennis
ANDREEVA/SHNAIDER,Silver Medal,8/4/2024,AIN,F,Tennis
Netherlands,Gold Medal,8/5/2024,NED,M,3x3 Basketball
France,Silver Medal,8/5/2024,FRA,M,3x3 Basketball
Jasmine CAMACHO-QUINN,Bronze Medal,8/10/2024,PUR,F,Athletics
Germany,Gold Medal,8/5/2024,GER,F,3x3 Basketball
Spain,Silver Medal,8/5/2024,ESP,F,3x3 Basketball
